POLARITY		CONCEPT
negative		ad_sitja_i_gegnum
positive		ad_skemmta_ser
positive		ad_skilgreina
negative		ad_skipta_um
positive		ad_skra_thig_ut
positive		ad_smakka
negative		ad_snua_vid
positive		adaage
positive		adalsmanna
positive		adamant
negative		adcirca
negative		adcocator
negative		addaandi
negative		addaandi_loga
positive		addacce
negative		adder
negative		adder_circuit
negative		addition_terrestrial
negative		addle
negative		adduction
negative		addutant
positive		adeins
positive		adeins_aras
positive		adeins_areynsla
positive		adeins_bean
negative		adeins_dyrd
negative		adeins_liffaeri
positive		adeins_ritgerd
negative		adeins_skipun
positive		adeins_tenor
positive		adeins_tha
positive		adeins_tilraun
positive		adelgid
negative		adenocarcinoma
negative		adenoma
negative		adenopathy
negative		adenophyllum
positive		adeply
positive		adept
positive		adferd
negative		adferd_einstaklingshyggju
positive		adferd_faglega
positive		adferd_glitch
positive		adferd_kunnatta
positive		adferd_radgjof
positive		adferd_skjal
positive		adferdafraedi
positive		adferdarfraedingur
negative		adferdbodi
positive		adgang
negative		adgangsheimild
positive		adgangur
positive		adgerda
negative		adgerdalaus
negative		adgerdaleysi
positive		adgongumidasala
negative		adhd
negative		adhlaturefni
positive		adiabatic
negative		adiabatic_concornion
negative		adiabatic_densify
negative		adiabatic_samdrattur
negative		adiabatic_thetting
negative		adilar
positive		adipic_acerb
positive		adipic_ancrid
positive		adipic_castic
positive		adipic_pane
positive		adipic_skammtur
positive		adipic_virulent
positive		adipic_zen
negative		adipocere
negative		adiponektin
positive		adiponitril
negative		adipose
negative		adipose_innrennsli
negative		adipose_svin
positive		adium
positive		adlada
negative		adladandi_hegdun
negative		adlaga
positive		adlagast
negative		adler
negative		admdge
positive		adminetto
negative		adnexal
negative		adnexal_torsion
positive		adop
positive		adore
positive		adorf
negative		adorned
positive		adrenalin
positive		adrenalin_epinephrine
positive		adrenalize
negative		adrenocautical
positive		adrenochrome
negative		adrenocorticotropic_hormone
positive		adrenvirka
positive		adric
negative		adrift
positive		adroit
positive		adskildum_sturtu
negative		adskilinn_af_storfum
negative		adskilinn_vid
negative		adskilja
positive		adsog
positive		adsorption_a
positive		adstod_vegna_hamfara
positive		adstoda
negative		adstodarmadur
positive		aduild
positive		adumbrate
positive		adupic_bitur
positive		adupic_syrt
positive		adupic_syru
positive		adur
negative		adur_en
positive		adur_keypt
positive		adur_othekkt
positive		advent
positive		adverbial
negative		advertisement
negative		advil
positive		advocate
positive		aedabunadur
positive		aedakerfi
positive		aedakerotisk_sjukdomur
negative		aedakrampi
positive		aedar
positive		aedar_flora
positive		aedar_kambium
negative		aedar_malamidlunar
positive		aedar_stor_mone
negative		aedar_vitglop
positive		aedarpakki
positive		aedarthyrping
positive		aedasjukdomur
negative		aedathrengjandi
positive		aedavikkun
negative		aedi
negative		aedicula
positive		aedicule
positive		aedsta
negative		aedstu_stodu
negative		aedum
positive		aefdu_fot
positive		aefing
positive		aegilegur
positive		aegir
negative		aekjandi
negative		aeolis_mons_mount
negative		aeolotropic
negative		aepple
negative		aequorea
negative		aequorin
negative		aera
negative		aerdrie_faenya
negative		aerdy
negative		aero
negative		aerobee
positive		aerodrome
positive		aerodrome_flugbraut
positive		aerodynamic
positive		aeronaut
negative		aeroshell
negative		aerostat
negative		aerri
negative		aeruginosa
negative		aery
negative		aery_aras
negative		aery_assault
negative		aery_bomb
negative		aery_cinematography
positive		aeschylus_oresteia
negative		aesculapian_care
positive		aesculapian_faglegur
positive		aesculapian_malsmedferd
negative		aesculapian_marijuana
positive		aesculapian_record
negative		aesculapian_sjukdomur
positive		aesispennandi_eltingaleikur
positive		aesku
negative		aestivate
negative		aestivation
negative		aetandi
negative		aethiophysa
positive		aeti
positive		aetid_a
negative		aetisnal
positive		aetla
negative		aetlad_ad
negative		aetlunin_galli
positive		aettar
positive		aettbok
negative		aettgengur_sjukdomur
negative		aetti_ad_vera_brook
negative		aetti_ponk
positive		aettkvisl
positive		aettleida
positive		aetur
positive		aevarandi
positive		aevarandi_reidhjol
positive		aevilangt
positive		aevintyralegt
positive		aevintyri
negative		aexli
negative		af_asetningi
negative		af_baki
negative		af_becter
negative		af_diska
positive		af_hatti
positive		af_heilum_hug
positive		af_hendi
positive		af_hverju
negative		af_massacir
negative		af_ollum_orsokum
positive		af_stad
positive		af_streitu
positive		af_sunnudag
negative		af_vanker
positive		af_vinnu
positive		af_vordur
negative		afall
negative		afall_af_storfum
positive		afall_frasog
positive		afall_thykjast
positive		afallastofnanir
negative		afallastreitusjukdomur
positive		afangaskipt
positive		afberandi
positive		afborganir
negative		afbrigdi
positive		afbrigdi_meginreglunni
negative		afbrigdilegt
negative		afbrydisamur
negative		afeard_daudinn
negative		afengi
negative		afengi_misnotkun
negative		afengi_vitglop
negative		afengisneysla_misnotkun
positive		affable
negative		affall
positive		afferda
positive		afferent_har
positive		afferent_modality
negative		afferent_organ
positive		affianian
positive		afficionado
negative		affidavit
positive		affine
positive		affloggun
negative		afforest
negative		affright_stricken
negative		affron
positive		affunni
negative		afgangur
negative		afgangurinn
positive		afgerandi
negative		afgert
positive		afgreida_med
positive		afgreidsla
negative		afgugate
negative		afhendi
negative		afhending
negative		afhendingu
negative		afhendir_fealdy
negative		afhent
negative		afhestat
positive		afhjupa
negative		afhjupa_asakanir
positive		afhjupa_feluleik
negative		afhjupa_svik
negative		afhjupun
negative		afhyda
negative		afird
positive		afix
positive		afjonadu
negative		afjonadu_vatn
positive		afkastamikill
positive		afkoda
positive		afkost
positive		afkvaemi
positive		afladu
positive		afladu_doktorsgradu
positive		afladu_laun
positive		afladu_paycheck
positive		aflame
positive		aflame_ast
positive		aflatoxin
negative		aflatter
negative		afleida
positive		afleidd
positive		afleidd_laesa
negative		afleidd_taeki
positive		afleiding
positive		afleidur
positive		afleifa
positive		afli_andardrattur
negative		aflied_amid
positive		aflio
negative		aflitadu
negative		afloat_almenningur
negative		afloat_brunt
positive		afloat_gallop
positive		afloat_slate
positive		afloat_stodvun
positive		afluity
negative		afm_cantilever
positive		afmaeli
positive		afmaeli_gjafabref
positive		afmaeli_peninga
positive		afmaelisdagur
positive		afmaelisdagur_brudkaup
positive		afmaelisdagur_kerti
positive		afmaelisdagur_ovart
positive		afmaelisferd
positive		afmorkun
positive		afmorkun_hlutfall
negative		afnam
negative		afneita
negative		afneitun
negative		afneitun_gildi
positive		afordun
negative		afoul
negative		afoul_andardrattur
positive		afoul_tungumal
positive		afpolun_ljoss
positive		afram
positive		afram_stelpa
positive		aframreequest
positive		aframsenda
positive		afre
positive		afreka
negative		afrekaskra
positive		afrennsli
negative		afretti
negative		afretti_ogn
negative		afri_cola
positive		afrit
negative		afrit_metra
negative		afritad
negative		afritad_handrit
positive		afritadu
negative		afritunarvilla
negative		afro_hairstyle
positive		afro_kubu_jazz
negative		afromontane
negative		afryjun
positive		afsalad
negative		afskautun
positive		afskekkt
negative		afskorid
positive		afskrifa_kostnad
negative		afskrifandi
negative		afskriftir
negative		afskrifud_kostnadur
positive		afslattarmida
positive		afslattur
positive		afsokun
negative		afstadid
negative		afsteypa
negative		aftan_hugsun
positive		aftasta_rod
negative		afterdamp
positive		aftershave
negative		afthakka
positive		afthreyingar
negative		afthyda
negative		aftra
positive		aftur
negative		aftur_a_byrjunarreit
positive		aftur_a_faetur
positive		aftur_a_morgun
negative		aftur_a_moti
positive		aftur_i_grunn
positive		aftur_i_rekstur
positive		aftur_i_rot
positive		aftur_i_skola
negative		aftur_nidur
positive		aftur_til_ad_brjota_saman
negative		afturabak
negative		afturfall
negative		afturkalla
positive		afturkalla_skipid
negative		afturkallad
negative		afturkollun
positive		afturvirkt
negative		afulsion
negative		afvega
negative		afvega_hringras
positive		afvega_litrof
positive		afvega_svid
negative		afvegaleida
negative		afvopn
negative		afvopna_bros
positive		afvopnun
positive		afylling
positive		agaetis
positive		agaetur_matur
positive		againe
negative		agalactiae
positive		agalved
negative		agamid_lizard
positive		agamid_lizard_endemic
negative		agamidae_family
positive		agarose
positive		agate
positive		agathe_tyche
positive		agave_nektar
positive		agayne
positive		agaynst
negative		ageism
positive		agent_cream
positive		aggandize
positive		agggutinate
positive		agglomerate
negative		agglomerate_hennar
positive		aggramonte
negative		aggrive
negative		agh
negative		aghast
positive		agile
positive		aging_evanesce
positive		aging_fade
positive		aging_fleet
positive		aging_flit
positive		aging_flutter
positive		aging_swift
positive		agiotage
negative		agiskun
negative		agitate
negative		agitative
negative		agitprop
negative		agjof
positive		agkistrodon
negative		aglate
negative		agleam
negative		agleam_gloa
negative		aglow
positive		aglow_flux
negative		aglow_gloa
positive		agn
negative		agna
negative		agnate
negative		agnatic
negative		agnatic_primogeniture
negative		agnelli_family
positive		agnize
negative		agnosia
positive		agnosticism
positive		agobot
positive		agog
negative		agonist
positive		agonistic
positive		agonoxenidae_fjolskylda
negative		agraphia
negative		agreiningur
negative		agreiningur_jarni
negative		agreiningur_kopar
positive		agromania
positive		agronomic
negative		ague
negative		ague_malnutritition
negative		agulmer
positive		agvish
positive		aha
positive		ahaettuflosku
positive		ahaettuleikari
positive		ahamkara
positive		ahem
positive		aherslulegt
positive		ahh
positive		ahi_tunfiskur
positive		ahl_uti
positive		ahofn
positive		ahorfandi
positive		ahrif
positive		ahrifamikill
negative		ahriman
negative		ahugahvot
negative		ahugalaus
positive		ahugamal
positive		ahugamal_bud
positive		ahura_mazda
negative		ahyggjuefni
negative		ahyggjuefni_heilsu
positive		aid
negative		aid_and_abet
negative		aids
positive		aikido
negative		ail
positive		aimpunktur
positive		ain
negative		airbase
positive		airbrush
positive		airbrush_tol
negative		airburst
positive		airfart_airfart
positive		airfove
negative		airhead
negative		airman
positive		airpark
negative		airpocalypse
negative		airsick
positive		airstream
negative		airwalk
positive		airworth
negative		akab
positive		akademia
negative		akaerdur
negative		akaflega
positive		akafur
positive		akafur_barn
positive		akafur_bjor
positive		akafur_sinnep
negative		akatisia
positive		akbraut
positive		aker_hreinn
positive		akinetic_mutism
positive		akjosanlegur
positive		akkee
positive		akkeri
positive		akond
positive		akstursbylgja
positive		akurdagur
positive		akvaedi
positive		akveda
positive		akveda_millistig
positive		akvedid
positive		akvordun
positive		al_dente
positive		ala_upp
positive		alabang_viaduct
positive		alabaster
negative		alabaster_monument
positive		alacrity
positive		aladdin
positive		aladdin_hellir
negative		alag
negative		alagdur
negative		alakiyaada
positive		alamosa
positive		alamshar
positive		alarplasty
positive		alastair
negative		alatory
negative		alba_line
negative		albatross
negative		albers_schonberg_sjukdomurinn
negative		alberta_greni
positive		albigensian_krossferd
negative		albinism
negative		albretti
negative		albuffera
negative		albumin
negative		albumin_i_sermi
negative		albuminuria
positive		alchemic
positive		alchemist
positive		alchemy
positive		alchemy_lab
positive		alciphron
positive		alcove
positive		alcyone
negative		alda_gedklofa
negative		aldactone
positive		aldaformable
positive		aldehyde
positive		aldermen
negative		aldobrandino
negative		aldosteron_motlyf
positive		aldosteron_seyting
positive		aldosteronframleidsla
positive		aldrei_haetta
positive		aldur
positive		aldur_kastala
positive		aldur_knight
positive		aldur_krappi
positive		aldurslaus
negative		aldursmismunun
negative		aldurstengt
negative		aleatoric
negative		aleatory_hegdun
positive		alencon
positive		aletrun
negative		aleve
negative		alexander
positive		alexis_bittar
positive		alexis_nace
positive		alexithymia
negative		aleynikov
negative		alfa_geislun
negative		alfa_romeo
negative		alfahydroxy_syru
positive		alfalfa
positive		alfalfa_hey
positive		alfalfa_weevil
negative		alfelgur_baetist_vid
negative		alfie
negative		alfo
positive		alford_plea
positive		alfresco
negative		alfuzosin
positive		algengari
negative		algengasta
positive		algengd
positive		algengt
positive		algengur
positive		algengur_matur
negative		algid
positive		algilt
positive		alginate
negative		algiy
negative		algrunar
negative		alhama
negative		alheims
negative		ali_pachha
negative		alibecch
positive		alick
negative		alien
positive		alight_beam
positive		alight_breeze
positive		alinda
positive		aline
positive		aliquot_vidd
negative		aliskiren
positive		alit
negative		alit_mismunandi
negative		alitame
negative		alitin
positive		alitshnekkir
negative		aliweb
positive		aliz_cornet
positive		alizarin
negative		alkoholismi
negative		allamah
positive		allan_solarhringinn
positive		allay
positive		allegance
positive		allegoric
negative		allele
positive		allen
negative		alleviant_geislamedferd
positive		alleyway
positive		allformats
positive		allherrope
negative		allholy
negative		alligant
negative		alligator
positive		allin
positive		alling
positive		allir
positive		alliterter
negative		allity
positive		allium_cepa
positive		allium_graenmeti
positive		allmouth
negative		allmovie
negative		allmusic_writer
positive		allocentric
negative		allodial
negative		allodium
positive		allodyna
negative		allofon
negative		allograft
negative		alloing_haekkun
negative		alloing_hagnadur
positive		alloplastic
negative		allostatic_alag
negative		allostatic_byrdi
negative		allostatic_encumbrance
negative		allostatic_freight
negative		allostatic_gjald
negative		allostatic_hledsla
negative		allostatic_incumbrance
negative		allostatic_sendingin
negative		allostatic_warhead
positive		allotadu_surefni
positive		allote_rettlaetanlegt
negative		allote_senit
positive		allottee
positive		allout
negative		alloverplace
positive		alloy_pipe
positive		alloy_plaque
negative		alloyed
negative		alloying_summation
negative		alloying_vidbot
positive		alls_stadar
negative		allsherjarthing
positive		allspice
positive		allstar
positive		allt
positive		allt_ad
positive		allt_ad_hrada
positive		allt_ad_minutu
positive		allt_ad_par
positive		allt_ad_vidmidum
positive		allt_i_lagi
negative		allt_rokk
positive		alltaf
positive		alltaf_bein
negative		alltaf_bozo
negative		alltaf_caterpillar
negative		alltaf_disgorge
negative		alltaf_retch
positive		alltaf_sokkar
negative		alltaf_uppkost
negative		allthumbs
negative		allure
negative		allured
positive		alluring
negative		alluvial
negative		alluvion
positive		allyer
negative		almannaheilbrigdi
negative		almaolidramin
positive		almattugur
positive		almenn_malefni
positive		almennt
negative		almennt_farrymi
positive		almennt_utlit
positive		almennur_fridagur
positive		almennur_tilgangur
positive		almoner
negative		almoner_svid
negative		almshouse
negative		aloat
positive		alog_bundin
positive		aloha
negative		aloof
negative		aloud_blast
positive		aloud_ovation
negative		aloud_yell
positive		alpaca
positive		alpappir
positive		alpenglow
positive		alpha_male
negative		alpha_ray
positive		alphanumeric_simbodi
negative		alphinez
negative		alprazolam
negative		alprostadil
negative		alraedisrikja
negative		alraemdur
positive		alrighto
positive		altar_textile
negative		altar_tomb
positive		altari
positive		altazimuth
negative		alternatial
negative		althingi
positive		althjodleg
negative		althjodleg_syning
positive		althyduleg
negative		altima
positive		altitadinal_svid
positive		alto
positive		altruist
negative		altschmerz
negative		alula
positive		alumni
positive		alumnus
negative		alvarleg_ahrif
positive		alvarleg_nemandi
negative		alvarleg_sarsauki
negative		alvarlegt
negative		alvarlegt_altari
positive		alvarlegt_barn
negative		alvarlegt_meidsli_i_koju
positive		alvarlegur_hugur
negative		alvarleiki
positive		alveg_upp_i_husasundi
positive		alveolus
positive		alvitin_radgjof
positive		alvitur
positive		alvoru
negative		alvorunafn
negative		alzheimer
negative		am
negative		amabel
negative		amalekite
positive		amalgamate
positive		amanita_muscaria
negative		amanita_virosa
negative		amarcord
positive		amasia
positive		amass_audur
positive		amassed_big
positive		amassed_hefty
positive		amassed_merkjanlegur
positive		amassed_ofbeldi
positive		amassed_sizable
positive		amassed_snyrtilegur
positive		amative
negative		amatorstund
positive		amatory
positive		amavasya
positive		amaze
positive		ambatt
negative		ambit
negative		ambit_needle
negative		ambitrosur
negative		ambivalent
negative		ambive
negative		amble
negative		ambled
negative		amblyomma
positive		amblyopic
positive		amblyopic_auga
positive		ambrosia
negative		ambulant_plaga
negative		ambuscade
positive		ambuscade_dyrnar
positive		ambystoma
negative		amebic_dysentery
negative		amelanistic
negative		ameliorate
positive		amen
positive		amercemememement_ull
negative		amercemement_fog
negative		amercement
positive		american_fana
negative		american_import
positive		ameriku
positive		amerin
positive		amethyst
positive		ametystine
positive		amfetamin
positive		amicableness
positive		amicably
positive		amicus
positive		amid
positive		amidinin
positive		amidinium
negative		amiloride
positive		amine
positive		aminesikum
negative		aminian
negative		aminning
negative		aminocidur
negative		aminofyllin
positive		aminoglycoside_syklalyf
negative		aminokaproic_syru
negative		aminorex
negative		amir_vinur
negative		amissi
positive		amitabha
negative		amitiza
negative		amittai
positive		amity
negative		amlodipin
positive		amma
positive		amminaadab
positive		ammo
negative		ammoniak
negative		ammoniak_lykt
negative		ammonibere_wear
negative		ammonium
positive		ammophila
negative		amnesiac
negative		amnestic
positive		amnesty
positive		amobarbital
negative		amoeba
negative		amoebic
negative		amoebic_dysentery
negative		amoeboid
positive		amogile
negative		amok
positive		amorino
positive		amorous
negative		amorphous
negative		amorth
positive		amouage
positive		amperage
positive		ampere
positive		amphibian
positive		amphibious_aras
positive		amphibious_invasion
positive		amphibious_loftforum
negative		amphiesma
positive		amphimallon
positive		amphipod
positive		amphipod_crustacean
negative		amphisbaena
negative		amphisbaenia
positive		amphitheater
positive		amphoteric_malmur
positive		amphotericin
positive		ampicillin_sulbactam
positive		ampiprion
positive		amplitude
negative		ampoule
negative		ampule
negative		ampullary
negative		amputate
negative		amrita_nektar
positive		amsl
positive		amulet
negative		amur_leopard
negative		amwell
negative		amygdala
negative		amylnitrat
positive		amyloid
positive		amylum
negative		amyralism
positive		amyumi
negative		an_atvinnu
negative		an_mismununar
positive		an_naudsynjar
negative		an_thess_ad_haetta
negative		anaathema
positive		anabaptism
positive		anabuse
negative		anachrony
negative		anacreontic
positive		anaegd_hogg
positive		anaegdur
positive		anaegja
positive		anaegjulegt
negative		anaerobe
negative		anaerobic_bakteria
negative		anaerobic_ferman
negative		anaerobic_gerjun
positive		anaglyph
positive		anakam
negative		anal
positive		analog_lanceolate
positive		analog_mykt
positive		analog_skridthunga
negative		analphabetism
positive		analysand
positive		anamnesis
negative		anamorphic
positive		anangu
negative		anapaestic_aaetlun
negative		anapaestic_bragd
negative		anapest
negative		anapestic
negative		anaphrodisia
negative		anaplastic
positive		anaplasty
negative		anarkia
positive		anarkic
positive		anasarca
positive		anastomosis
positive		anastomotic_leka
negative		anatta
negative		anceiscience
negative		anchorite
negative		anchoritic
positive		anchorman
positive		anchorperson
positive		anchrd
positive		anchusa
positive		anda
negative		andadu_andstaedingur
negative		andadu_hvarfefni
positive		andadu_mataraedi
positive		andadu_seti
positive		andantino
positive		andar
positive		andardrattur
negative		andardrattur_nidur_hals
negative		andartak_til_andartaks
negative		andfelagsleg
negative		andfyla
positive		andhistamin
negative		andhistaminic
negative		andhverfa
positive		andkolinvirka
negative		andleg_blokk
positive		andleg_heilsa
negative		andlegt_vandamal
positive		andlit_af
negative		andlit_lofa
positive		andlitslyfta
negative		andlitsrettur
positive		andlitssparnadur
negative		andmaela
positive		andmaela_odd
positive		andmaela_samthykki
positive		andmaela_tru
negative		andofsmadur
negative		androcentrism
positive		androgel
positive		androgen
negative		androgynous
positive		androgyny
positive		andromachi
negative		andrumsloft
negative		andsetin_kona
positive		andstaedingur
positive		andstaedingur_mohamed_brahmi
negative		andstaedingur_sokkana
negative		andstaedingur_torso
positive		andstaedingur_vodva
positive		andstaedingurinn_strand
negative		andstaett
positive		andsydrogen
negative		andud
negative		andyl
positive		anecdote
negative		anechoic
positive		anecic
negative		anectal
negative		anemic
negative		anemic_rupia
negative		anencephalic
negative		anencephaly
positive		anethole
positive		aneuploidy
negative		aneurysm
positive		aneurysmal
negative		aneurysmal_utvikkun
negative		anfo
negative		angiofibroma
negative		angiography
positive		angiotensin
negative		angist
positive		angler
positive		anglesite
positive		angleworm
positive		anglian_medal
negative		anglicism
negative		anglomania
positive		anglophile
positive		anglophilia
positive		angor_ull
positive		angora_geit_ull
positive		angora_geitur
positive		angora_kanina
positive		angora_kanina_ull
positive		angora_ull
positive		angora_woolen
positive		angurvaerur
negative		anhedonia
negative		anhydrid
negative		aniccam
positive		aniconic
positive		anicteric
positive		aniiridia
positive		anil
positive		animacy
negative		animadversion
negative		animatronic
positive		animilitarism
positive		anise
positive		anise_hyssop
positive		anishgamy
positive		anisometropia
negative		anisonvulsant
negative		anisotropic
negative		anisotropy
positive		anitithetic
negative		anjon
positive		anjonisk
negative		ankle_djupt
negative		ankylosaur
negative		anna
positive		annabel
negative		annad
negative		annad_adila
negative		annad_jesaja
positive		annad_sjalf
negative		annad_svar
positive		annadhvort_brenna
positive		annadhvort_svid
positive		annadhvort_uppskera
positive		annadhvort_veitt
positive		annadhvort_vinna
positive		annadworld
positive		annagh
positive		annall_skaldsaga
negative		annals
positive		annar
negative		annar_flokkur
positive		annar_helmingur
positive		annars
negative		annatimi
positive		anneal
positive		anneal_tantrum
negative		annelid
negative		annelid_ormur
negative		annelidan
negative		annihilating
negative		annotate
positive		annuloplasty
positive		annus_longitudininal
positive		anode
negative		anodyne
negative		anomaly
positive		anomi
positive		anomic
negative		anomic_aphasia
negative		anonymia
positive		anonymous_conferrer
positive		anonymous_donor
positive		anonymous_gefur
negative		anonymous_ip
positive		anonymous_presenter
negative		anopheles_moskitonlist
negative		anopinion
positive		anorbital
negative		anorectic_agent
positive		anorectic_blade
positive		anorexigenic
negative		anorgasmia
positive		anoroxic_blade
negative		anosmia
negative		anosognosia
negative		anovulan
negative		anovulant
negative		anovum
positive		anoxic_aveitu
positive		anoxic_pee
positive		anoxic_pissa
positive		anoxic_thvag
positive		anoxic_vatn
positive		anoxic_vatnsveitur
positive		antaphoric
negative		antaroplastic
negative		antecede
negative		antectomy
positive		antediluvian
negative		antedrat
negative		anteenptial_kynlif
positive		antegrade
negative		antelope
negative		antelope_jackrabbit
negative		antemetial
negative		antepitum
negative		anteroception_munnleg_agnosia
negative		anteroception_stimulus
positive		anteroconid
positive		anterograde_minnisleysi
negative		anterolateral
negative		anthelmintic
positive		antheridium
negative		anthesteria
positive		anthill
positive		anthology
positive		anthomyidae
positive		anthos_blom
positive		anthraquinone
negative		anthrax_aras
positive		anthrope
negative		anthropnosic_ahrif
negative		anthropo
positive		anthropocentrism
positive		anthropoid
positive		anthropoid_ape
positive		anthropomorphic
negative		anthropomorphism
positive		anthropomorphizize
positive		anthroponym
negative		anthropophagus
negative		anthropophagy
positive		antiarircraft
negative		antidiuretic_hormon
negative		antidromic
negative		antifeminism
positive		antiferromagnet
negative		antigay
negative		antigovernment
positive		antigravity
positive		antimalarial
positive		antimatter
positive		antimint
negative		antimon
negative		antimonial
positive		antimonial_alfelgur
positive		antimonial_mengun
positive		antimonial_pipa
positive		antimonial_plaque
negative		antimonial_threyta
positive		antimunism
positive		antimycotic
positive		antimycotic_agent
positive		antinomian
negative		antinomy
positive		antiochian_rite
negative		antipathy
negative		antiphlogistic
negative		antiplatelet
positive		antiproton
positive		antiprotozoal
negative		antiqued
positive		antiquiated
positive		antirrusing
negative		antisemitic
negative		antisemitism
negative		antitrax_mailer
positive		antivorivative
negative		antler
negative		antler_moth
positive		antlion
negative		antracycline
negative		antrel_hlutverk
positive		antropocentric
positive		antropology
negative		antsy
positive		antteromedial
negative		antteroposteror
negative		antunant
positive		anturineutron
positive		anum
negative		anus
positive		anvil
positive		anxiolytic
positive		anxiousicic
positive		aodh
negative		apa_vidskipti
positive		apace
negative		apakottur
negative		apanage
negative		apartheid
positive		apatetic
